# File encoding:    UTF-8
# Name:             Signum! GRIECH to Unicode
# Unicode version:  13.0
# Table version:    1.0
# Table format:     Format A
# Date:             2020 September 06
# Authors:          Xiphoseer <xiphoseer AT mailbox.org>

0x00	0x0000	# NULL                                      	# <NUL> ISO646
0x01	0x27E8	# MATHEMATICAL LEFT ANGLE BRACKET           	# ⟨
0x02	0x27E9	# MATHEMATICAL RIGHT ANGLE BRACKET          	# ⟩
0x03	0x007B	# LEFT CURLY BRACKET                        	# {
0x04	0x007D	# RIGHT CURLY BRACKET                       	# }

0x0F	0x003C	# LESS-THAN SIGN                            	# <
0x10	0x003E	# GREATER-THAN SIGN                         	# >
0x11	0x0028	# LEFT PARENTHESIS                          	# (
0x12	0x0029	# RIGHT PARENTHESIS                         	# )
0x13	0x2080	# SUBSCRIPT ZERO                            	# ₀

0x20	0x22C1	# N-ARY LOGICAL OR                          	# ⋁
0x21	0x007C	# VERTICAL LINE                             	# |
0x22	0x2016	# DOUBLE VERTICAL LINE                      	# ‖

0x24	0x22C0	# N-ARY LOGICAL AND                         	# ⋀
0x25	0x22C3	# N-ARY UNION                               	# ⋃
0x26	0x22C2	# N-ARY INTERSECTION                        	# ⋂

0x28	0x27EE	# MATHEMATICAL LEFT FLATTENED PARENTHESIS   	# ⟮
0x29	0x27EF	# MATHEMATICAL RIGHT FLATTENED PARENTHESIS  	# ⟯

0x2F	0x002F	# SOLIDUS                                   	# /	ASCII

0x31	0x007C	# VERTICAL LINE                             	# |
0x32	0x2016	# DOUBLE VERTICAL LINE                      	# ‖
0x33	0x2228	# LOGICAL OR                                	# ∨
0x34	0x2227	# LOGICAL AND                               	# ∧
0x35	0x222A	# UNION                                     	# ∪
0x36	0x2229	# INTERSECTION                              	# ∩
0x37	0x002F	# SOLIDUS                                   	# /
0x38	0xFE59	# SMALL LEFT PARENTHESIS                    	# ﹙
0x39	0xFE5A	# SMALL RIGHT PARENTHESIS                   	# ﹚

0x3C	0xFE64	# SMALL LESS-THAN SIGN                      	# ﹤

0x3E	0xFE65	# SMALL GREATER-THAN SIGN                   	# ﹥

0x40	0xFE68	# SMALL REVERSE SOLIDUS                     	# ﹨
0x41	0x0391	# GREEK CAPITAL LETTER ALPHA                	# Α
0x42	0x0392	# GREEK CAPITAL LETTER BETA                 	# Β
0x43	0x03A7	# GREEK CAPITAL LETTER CHI                  	# Χ
0x44	0x0394	# GREEK CAPITAL LETTER DELTA                	# Δ
0x45	0x0395	# GREEK CAPITAL LETTER EPSILON              	# Ε
0x46	0x03A6	# GREEK CAPITAL LETTER PHI                  	# Φ
0x47	0x0393	# GREEK CAPITAL LETTER GAMMA                	# Γ
0x48	0x0397	# GREEK CAPITAL LETTER ETA                  	# Η
0x49	0x0398	# GREEK CAPITAL LETTER THETA                	# Θ
0x4A	0x0399	# GREEK CAPITAL LETTER IOTA                 	# Ι
0x4B	0x039A	# GREEK CAPITAL LETTER KAPPA                	# Κ
0x4C	0x039B	# GREEK CAPITAL LETTER LAMBDA               	# Λ
0x4D	0x039C	# GREEK CAPITAL LETTER MY                   	# Μ
0x4E	0x039D	# GREEK CAPITAL LETTER NY                   	# Ν
0x4F	0x039F	# GREEK CAPITAL LETTER OMICRON              	# Ο
0x50	0x03A0	# GREEK CAPITAL LETTER PI                   	# Π
0x51	0x03A8	# GREEK CAPITAL LETTER PSI                  	# Ψ
0x52	0x03A1	# GREEK CAPITAL LETTER RHO                  	# Ρ
0x53	0x03A3	# GREEK CAPITAL LETTER SIGMA                	# Σ
0x54	0x03A4	# GREEK CAPITAL LETTER TAU                  	# Τ

0x57	0x03A9	# GREEK CAPITAL LETTER OMEGA                	# Ω
